driverId,driver_name,skill_score,adjusted_talent_score,talent_score,uncertainty_penalty,mean_residual,std_residual,bad_rate,elite_rate,peak_residual,speed_score,peak_score,elite_score,consistency_score,error_score,confidence,confidence_label,races
22,Rubens Barrichello,-90.9653154526059,90.9653154526059,95.31764705882352,4.352331606217616,-0.31819224,1.1990396,0.04887218045112782,0.18045112781954886,-1.3355711102485657,97.6470588235294,95.29411764705881,94.11764705882352,95.29411764705881,88.23529411764706,0.689119170984456,MEDIUM,266
35,Jacques Villeneuve,-86.37849462365591,86.37849462365591,92.39999999999999,6.021505376344085,-0.29298052,1.0417771,0.03773584905660377,0.16981132075471697,-1.2640345335006713,94.11764705882352,91.76470588235294,91.76470588235294,92.94117647058823,87.05882352941177,0.5698924731182796,LOW,159
18,Jenson Button,-85.36909653813677,85.36909653813677,89.38823529411764,4.019138755980862,-0.18469982,1.6862426,0.06040268456375839,0.14429530201342283,-1.1962114453315735,95.29411764705881,92.94117647058823,87.05882352941177,81.17647058823529,77.64705882352942,0.7129186602870813,MEDIUM,298
13,Felipe Massa,-85.23761000463176,85.23761000463176,89.6470588235294,4.409448818897638,-0.166402,1.4097476,0.038314176245210725,0.13409961685823754,-1.103623628616333,90.58823529411765,87.05882352941177,81.17647058823529,91.76470588235294,94.11764705882352,0.6850393700787402,MEDIUM,261
4,Fernando Alonso,-82.16470588235295,82.16470588235295,85.45882352941177,3.2941176470588243,-0.09716263,0.96096444,0.05641025641025641,0.11794871794871795,-1.0029460668563843,87.05882352941177,76.47058823529412,71.76470588235294,98.82352941176471,84.70588235294117,0.7647058823529411,MEDIUM,390
57,Mika Häkkinen,-80.13203233900194,80.13203233900194,88.09411764705881,7.962085308056872,-0.4516686,1.1815481,0.02197802197802198,0.24175824175824176,-1.339259147644043,92.94117647058823,90.58823529411765,95.29411764705881,74.11764705882354,82.35294117647058,0.4312796208530806,LOW,91
14,David Coulthard,-78.40746054519369,78.40746054519369,83.52941176470588,5.121951219512195,-0.38393673,2.9147646,0.04807692307692308,0.21634615384615385,-1.4383006930351256,98.82352941176471,96.47058823529412,97.6470588235294,27.058823529411764,83.52941176470588,0.6341463414634146,MEDIUM,208
31,Juan Pablo Montoya,-78.2967382213549,78.2967382213549,86.25882352941177,7.962085308056872,-0.5171134,1.3485377,0.07692307692307693,0.2857142857142857,-1.8135364055633545,96.47058823529412,100.0,98.82352941176471,69.41176470588235,44.70588235294118,0.4312796208530806,LOW,91
1,Lewis Hamilton,-77.79849170437406,77.79849170437406,81.38823529411765,3.5897435897435894,-0.12989783,0.7740703,0.031609195402298854,0.08333333333333333,-0.8528229713439941,89.41176470588236,54.11764705882353,42.35294117647059,100.0,98.82352941176471,0.7435897435897436,MEDIUM,348
49,Heinz-Harald Frentzen,-75.7819806403574,75.7819806403574,82.87058823529411,7.088607594936709,-0.3018509,1.5296586,0.05128205128205128,0.1623931623931624,-1.201043128967285,88.23529411764706,88.23529411764706,84.70588235294117,70.58823529411765,72.94117647058823,0.4936708860759494,LOW,117
8,Kimi Räikkönen,-75.37461300309597,75.37461300309597,79.05882352941177,3.6842105263157903,-0.05313458,2.1348307,0.05357142857142857,0.12797619047619047,-1.058206021785736,84.70588235294117,83.52941176470588,77.64705882352942,57.647058823529406,85.88235294117646,0.7368421052631579,MEDIUM,336
30,Michael Schumacher,-74.61550802139038,74.61550802139038,79.38823529411765,4.772727272727273,-0.18394765,4.8559666,0.03879310344827586,0.3017241379310345,-1.4739116549491882,91.76470588235294,98.82352941176471,100.0,10.588235294117647,92.94117647058823,0.6590909090909091,MEDIUM,232
23,Ralf Schumacher,-73.10101419878295,73.10101419878295,78.8941176470588,5.793103448275863,-0.20485131,2.038358,0.07647058823529412,0.21764705882352942,-1.5475821018218991,85.88235294117646,97.6470588235294,96.47058823529412,52.94117647058824,50.588235294117645,0.5862068965517241,LOW,170
